sample_id,filename,fluency_score,readiness,wpm,fillers_per_min,stutters_per_min,pause_variability,long_pauses_per_min,percentile,score_gap,,human_review (1-5)
L2A_000,L2A_000.wav,59,borderline,168.6289404,6.152677554,0,0.162808681,0,30,21,,3
L2A_001,L2A_001.wav,81,borderline,123.5614779,2.54391278,0,0.174355958,0,65,0,,4
L2A_002,L2A_002.wav,55,borderline,110.6182423,2.994177987,0,0.404889756,0.831716108,30,25,,2
L2A_003,L2A_003.wav,42,borderline,67.21792478,1.760469459,0,0.348903043,1.60042678,30,38,,1
L2A_004,L2A_004.wav,56,borderline,130.3199296,3.522160258,0,0.20504742,0,30,24,,3
L2A_005,L2A_005.wav,33,not_ready,109.282245,5.504587156,0,0.569805035,1.618996222,30,47,,2
L2A_007,L2A_007.wav,25,not_ready,86.60984328,4.454220511,2.474566951,0.934355095,1.649711301,30,55,,2
L2A_008,L2A_008.wav,77,borderline,130.7664366,0.871776244,0,0.284299795,1.089720305,65,3,,4
L2A_009,L2A_009.wav,59,borderline,92.71725826,7.711138311,0,0,0.917992656,30,21,,2
L2A_010,L2A_010.wav,36,borderline,125.7066844,1.995344197,0,0.386873508,3.990688394,30,44,,3
L2A_011,L2A_011.wav,35,not_ready,87.09399253,5.173900546,0.862316758,0.681322244,1.724633515,30,45,,1
L2A_012,L2A_012.wav,65,borderline,122.9508197,1.788375559,0,0,3.353204173,50,15,,3
L2A_014,L2A_014.wav,72,not_ready,132.0422535,2.816901408,0,0,1.76056338,50,8,,3
L2A_015,L2A_015.wav,63,borderline,105.5573824,5.721802039,0.986517593,0,0.986517593,30,17,,2
L2A_016,L2A_016.wav,47,borderline,111.1416026,5.598243688,0,0.289638527,0.823271131,30,33,,3
L2A_017,L2A_017.wav,52,borderline,120,4.838709677,0,0.192861493,0,30,28,,3
L2A_018,L2A_018.wav,77,borderline,274.1116751,0.812182741,0,0,0,65,3,,
L2A_019,L2A_019.wav,42,not_ready,79.32692308,2.884615385,0,0.27122298,1.602564103,30,38,,1
L2A_020,L2A_020.wav,68,borderline,93.62496666,3.520938917,0.80021339,0,0,50,12,,1
L2A_021,L2A_021.wav,54,borderline,122.8533686,3.434610304,0,0.256124969,1.321003963,30,26,,4
